"site","grains","richness","indiv","count","sr_std","area"
"baldmnt",1,0.27978515625,0.32666015625,2048,0.127230307643626,2.44140625
"baldmnt",2,0.5341796875,0.6533203125,1024,0.672605786784453,4.8828125
"baldmnt",4,0.990234375,1.306640625,512,0.888005716421499,9.765625
"baldmnt",8,1.7265625,2.61328125,256,1.06063128630556,19.53125
"baldmnt",16,2.8125,5.2265625,128,1.16882065873404,39.0625
"baldmnt",32,4.171875,10.453125,64,1.20257247413848,78.125
"baldmnt",64,5.5625,20.90625,32,1.41278722457965,156.25
"baldmnt",128,7.125,41.8125,16,1.5,312.5
"baldmnt",256,9.125,83.625,8,1.88509188862809,625
"baldmnt",512,11.75,167.25,4,3.30403793359983,1250
"baldmnt",1024,15,334.5,2,1.4142135623731,2500
"baldmnt",2048,17,669,1,NA,5000
"bci",1,14.814453125,25.0361328125,8192,0.216321782571709,61.03515625
"bci",2,23.95556640625,50.072265625,4096,5.68518656658972,122.0703125
"bci",4,36.93408203125,100.14453125,2048,7.37945301875373,244.140625
"bci",8,54.666015625,200.2890625,1024,9.06907226207677,488.28125
"bci",16,76.421875,400.578125,512,10.3086302263132,976.5625
"bci",32,102.15625,801.15625,256,10.7089389086417,1953.125
"bci",64,129.046875,1602.3125,128,10.3443539889555,3906.25
"bci",128,156.921875,3204.625,64,10.1891705466427,7812.5
"bci",256,183.71875,6409.25,32,10.519519107738,15625
"bci",512,209.1875,12818.5,16,8.62723401019508,31250
"bci",1024,231.625,25637,8,8.70036945028362,62500
"bci",2048,255.5,51274,4,9.1469484893415,125000
"bci",4096,276.5,102548,2,3.53553390593274,250000
"bci",8192,301,205096,1,NA,5e+05
"bigoak",1,0.563232421875,0.6676025390625,8192,0.117824376457087,2.44140625
"bigoak",2,1.036865234375,1.335205078125,4096,0.903855984618263,4.8828125
"bigoak",4,1.84033203125,2.67041015625,2048,1.16385655399196,9.765625
"bigoak",8,3.0888671875,5.3408203125,1024,1.45741542209106,19.53125
"bigoak",16,4.830078125,10.681640625,512,1.70885617486372,39.0625
"bigoak",32,7.29296875,21.36328125,256,1.84181000462514,78.125
"bigoak",64,10.25,42.7265625,128,1.81420466945633,156.25
"bigoak",128,13.65625,85.453125,64,1.7836893280635,312.5
"bigoak",256,17.5625,170.90625,32,1.91660822725308,625
"bigoak",512,20.875,341.8125,16,2.09364116632563,1250
"bigoak",1024,25.375,683.625,8,1.84681192483541,2500
"bigoak",2048,29.25,1367.25,4,1.70782512765993,5000
"bigoak",4096,35,2734.5,2,2.82842712474619,10000
"bigoak",8192,40,5469,1,NA,20000
"bormann",1,0.743408203125,0.947021484375,4096,0.155455486080729,4.78515625
"bormann",2,1.32666015625,1.89404296875,2048,0.922620351170045,9.5703125
"bormann",4,2.1689453125,3.7880859375,1024,1.0928419285868,19.140625
"bormann",8,3.310546875,7.576171875,512,1.28944461327902,38.28125
"bormann",16,4.734375,15.15234375,256,1.53385008342777,76.5625
"bormann",32,6.46875,30.3046875,128,2.02324094882638,153.125
"bormann",64,8.5,60.609375,64,2.72554057547699,306.25
"bormann",128,10.8125,121.21875,32,3.57804686314178,612.5
"bormann",256,13.9375,242.4375,16,3.95758764906098,1225
"bormann",512,16.75,484.875,8,4.74341649025257,2450
"bormann",1024,21,969.75,4,5.71547606649408,4900
"bormann",2048,25,1939.5,2,5.65685424949238,9800
"bormann",4096,30,3879,1,NA,19600
"bryan",1,0.358642578125,0.414306640625,8192,0.0861156932959619,2.08892822265625
"bryan",2,0.689453125,0.82861328125,4096,0.763480299206972,4.1778564453125
"bryan",4,1.2958984375,1.6572265625,2048,0.987633734830074,8.355712890625
"bryan",8,2.30078125,3.314453125,1024,1.21868772868961,16.71142578125
"bryan",16,3.8203125,6.62890625,512,1.53718982042925,33.4228515625
"bryan",32,5.9921875,13.2578125,256,1.97035318323053,66.845703125
"bryan",64,8.796875,26.515625,128,2.41504267091954,133.69140625
"bryan",128,12.515625,53.03125,64,2.7254950766234,267.3828125
"bryan",256,16.71875,106.0625,32,2.86507754778797,534.765625
"bryan",512,21.3125,212.125,16,3.21908372056397,1069.53125
"bryan",1024,26.75,424.25,8,2.91547594742265,2139.0625
"bryan",2048,34.25,848.5,4,3.20156211871642,4278.125
"bryan",4096,40.5,1697,2,6.36396103067893,8556.25
"bryan",8192,48,3394,1,NA,17112.5
